month,passengers,flights
2019-10-01,5644809,56113
2019-11-01,5257549,52615
2019-12-01,5257721,52112
2020-01-01,5096792,50230
2020-02-01,4365610,48410
2020-03-01,3073773,43127
2020-04-01,145895,8248
2020-05-01,176408,7840
2020-06-01,379220,10332
2020-07-01,732986,14904
2020-08-01,579730,14250
2020-09-01,699714,16049
