month,route,flights
2020-08-01,Gold Coast - Sydney,36
2020-09-01,Gold Coast - Sydney,na
2019-10-01,Perth - Port Hedland,414
2019-11-01,Perth - Port Hedland,374
2019-12-01,Perth - Port Hedland,379
2020-01-01,Perth - Port Hedland,378
2020-02-01,Perth - Port Hedland,358
2020-03-01,Perth - Port Hedland,394
2020-04-01,Perth - Port Hedland,112
2020-05-01,Perth - Port Hedland,47
2020-06-01,Perth - Port Hedland,70
2020-07-01,Perth - Port Hedland,146
2020-08-01,Perth - Port Hedland,152
2020-09-01,Perth - Port Hedland,193
2019-10-01,Perth - Sydney,770
2019-11-01,Perth - Sydney,731
2019-12-01,Perth - Sydney,795
2020-01-01,Perth - Sydney,755
2020-02-01,Perth - Sydney,703
2020-03-01,Perth - Sydney,664
2020-04-01,Perth - Sydney,83
2020-05-01,Perth - Sydney,62
2020-06-01,Perth - Sydney,100
2020-07-01,Perth - Sydney,126
2020-08-01,Perth - Sydney,100
2020-09-01,Perth - Sydney,95
2019-10-01,Newman - Perth,386
2019-11-01,Newman - Perth,336
2019-12-01,Newman - Perth,332
2020-01-01,Newman - Perth,340
2020-02-01,Newman - Perth,334
2020-03-01,Newman - Perth,266
2020-04-01,Newman - Perth,102
2020-05-01,Newman - Perth,42
2020-06-01,Newman - Perth,56
2020-07-01,Newman - Perth,82
2020-08-01,Newman - Perth,68
2020-09-01,Newman - Perth,138
2019-10-01,Proserpine - Sydney,70
2019-11-01,Proserpine - Sydney,60
2019-12-01,Proserpine - Sydney,61
2020-01-01,Proserpine - Sydney,64
2020-02-01,Proserpine - Sydney,na
2020-03-01,Proserpine - Sydney,na
2020-04-01,Proserpine - Sydney,0
2020-05-01,Proserpine - Sydney,0
2020-06-01,Proserpine - Sydney,na
2020-07-01,Proserpine - Sydney,na
2020-08-01,Proserpine - Sydney,na
2020-09-01,Proserpine - Sydney,0
2019-10-01,Port Macquarie - Sydney,365
2019-11-01,Port Macquarie - Sydney,315
2019-12-01,Port Macquarie - Sydney,328
2020-01-01,Port Macquarie - Sydney,299
2020-02-01,Port Macquarie - Sydney,296
2020-03-01,Port Macquarie - Sydney,317
2020-04-01,Port Macquarie - Sydney,na
2020-05-01,Port Macquarie - Sydney,na
2020-06-01,Port Macquarie - Sydney,na
2020-07-01,Port Macquarie - Sydney,na
2020-08-01,Port Macquarie - Sydney,na
2020-09-01,Port Macquarie - Sydney,na
2019-10-01,Ballina - Sydney,288
2019-11-01,Ballina - Sydney,257
2019-12-01,Ballina - Sydney,292
2020-01-01,Ballina - Sydney,311
2020-02-01,Ballina - Sydney,248
2020-03-01,Ballina - Sydney,218
2020-04-01,Ballina - Sydney,na
2020-05-01,Ballina - Sydney,32
2020-06-01,Ballina - Sydney,72
2020-07-01,Ballina - Sydney,258
2020-08-01,Ballina - Sydney,268
2020-09-01,Ballina - Sydney,311
2019-10-01,Sydney - Tamworth,370
2019-11-01,Sydney - Tamworth,386
2019-12-01,Sydney - Tamworth,346
2020-01-01,Sydney - Tamworth,349
2020-02-01,Sydney - Tamworth,353
2020-03-01,Sydney - Tamworth,315
2020-04-01,Sydney - Tamworth,na
2020-05-01,Sydney - Tamworth,na
2020-06-01,Sydney - Tamworth,na
2020-07-01,Sydney - Tamworth,na
2020-08-01,Sydney - Tamworth,na
2020-09-01,Sydney - Tamworth,na
2019-10-01,Sydney - Townsville,108
2019-11-01,Sydney - Townsville,100
2019-12-01,Sydney - Townsville,111
2020-01-01,Sydney - Townsville,104
2020-02-01,Sydney - Townsville,64
2020-03-01,Sydney - Townsville,58
2020-04-01,Sydney - Townsville,0
2020-05-01,Sydney - Townsville,0
2020-06-01,Sydney - Townsville,0
2020-07-01,Sydney - Townsville,na
2020-08-01,Sydney - Townsville,0
2020-09-01,Sydney - Townsville,0
2019-10-01,Sydney - Wagga Wagga,503
2019-11-01,Sydney - Wagga Wagga,468
2019-12-01,Sydney - Wagga Wagga,392
2020-01-01,Sydney - Wagga Wagga,290
2020-02-01,Sydney - Wagga Wagga,427
2020-03-01,Sydney - Wagga Wagga,385
2020-04-01,Sydney - Wagga Wagga,48
2020-05-01,Sydney - Wagga Wagga,37
2020-06-01,Sydney - Wagga Wagga,na
2020-07-01,Sydney - Wagga Wagga,na
2020-08-01,Sydney - Wagga Wagga,na
2020-09-01,Sydney - Wagga Wagga,na
